,short_description
49,दाव तस्वीर वर्तमान चल रह किसान आंदोलन के वक़्त । 
50,बूम भारतीय के प्रवक् कर्नल अमन आनंद बात दाव फ़र्ज़ करार दिय । 
51,दाव किय रह तस्वीर कृष कानून के ख़िलाफ़ चल रह किसान आंदोलन 
52,बूम पाय वायरल क्लिप अक्टूबर 2015 कश्मीर सिख द्वार पंजाब उनक धर्मग्रंथ के अपमान के ख़िलाफ़ विरोध 
53,दाव किय रह भारत के दिन पहल पंजाब के मुख्य मंत्र मुकेश अम्बा मिल 
54,दाव किसान आंदोलन दिल्ल चल मार्च के कारण राष्ट्रिय राजधा 80 किलोमीटर लम्ब जाम लग 
55,ट्विटर फ़ेसबुक दाव किय रह 21 सिख रेजिमेंट के सैनिक इस्तीफ़ दिय 
56,दाव किय रह भाजप किसान आंदोलन के कारण फूट पड़ 
57,बूम पाय तस्वीर मुंबई गुर गोबिंद सिंह जयं समारोह जिसम ऋतिक रोशन शिरकत थी। 
58,बूम रवीश बात करक पत लग ऐस अपील नह 
59,दाव लोग नागरिक संशोधन अधिनियम के ख़िलाफ़ प्रदर्शन रह किसान आंदोलन उन्ह हाथ 
60,दाव यूज़र्स वीडिय के माध्यम किसान स्थित दर्श कोशिश रह वीडिय हज़ार संख्य शेयर 
61,दाव किय रह किसान आंदोलन ख़ालिस्तान मूवमेंट आपस जुड़ 
62,दाव किय रह तस्वीर किसान आंदोलन किसान तिरंग बेइज़्ज़ रह 
63,बूम पाय तस्वीर 2008 बांग्लादेश के फ़तुल्लाह ईंट फैक्ट्र ली गय थी। 
64,दाव किय रह दोन शख़्स अमेरिक अप हनीमून छोड़ किसान प्रदर्शन शरीक हैं। 
65,बूम वीडिय गा गा वाल व्यक्त संपर्क किय जिसम पुष्ट वीडिय 2019 रिकॉर्ड किय गय 
66,केंद्र सरकार के नए कृष क़ानून के ख़िलाफ़ जार किसान के प्रदर्शन सुरक्षाबल कार्यव कनाड प्रधानमंत्र 
67,वायरल वीडिय के किय गय दाव कह पार्ट जिहाद मानसिक ग्राउंड रिपोर्ट देख समझ किसान आंदोलन 
68,दाव किय रह तस्वीर प्रदर्शन रह किसान भगवान राम के विरोध बैनर ले चल रह 
69,बूम वृद्ध किसान पहचान सुखदेव सिंह के तौर बात बत उन्ह बाह पीठ 
70,दाव किय रह पंजाब 2000 हजार घोड़ के 20000 निहंग सिंह किसान के समर्थन दिल्ल रवाना। 
71,बूम पेश इलेक्ट्रीशियन नज़ीर मुहम्मद बात बत पुलिस शिकायत । 
72,सोशल मीडिय यूज़र तस्वीर हैदराबाद नगर निगम चुनाव जोड़ शेयर रह हैं। 
73,यूज़र्स तस्वीर हालिय किसान आंदोलन जोड़ शेयर रह हैं। 
74,सोशल मीडिय यूज़र्स तस्वीर शेयर दाव रह राजकुमार बंसल । 
75,सोशल मीडिय दाव किय गय तस्वीर दिख रह किसान दिल्ल के डेर डाल 
76,नेटिज़ेंस दाव रह कश्मीर 370 35A हट पंजाब फसल उग बड़ तकलीफ रह होगी!! 
77,बूम पाय वीडिय 2019 आईसीस क्रिकेट विश्व कप के मैच जह दर्शक खालिस्तान के समर्थन 
78,सोशल मीडिय यूज़र्स द्वार दाव किय रह वीडिय अहमद पटेल अंतिम यात्र दर्शाय गय 
79,BOOM पाय वीडिय 2017 लगातार बारिश चेन्नई के इलाक प्रभावित किय जिसम मरी समुद्र तट 
80,बूम गृह मंत्रालय द्वार जार ऐस आदेश नह मिला। 
81,बूम बात बिलकिस बान बत अभ किसान विरोध प्रदर्शन भाग नह लिय जल्द वो 
82,बूम पाय वायरल वीडिय तत्कालीन अर्जेंटी के राष्ट्रपत मारिसिय मैक्र चुनाव प्रचार दिख गय है। 
83,बूम पत लग वायरल वीडिय दरअसल सीजीआई क्लिप 
84,बूम पाय दिल्ल चल विरोध पृष्ठभूम कांग्रेस द्वार शेयर तस्वीर 2018 है। 
85,स्पूफ़ मज़ाकिय वीडिय यूनाइटेड किंगडम के एड फ़िल्म बन वाल 2005 बन 
86,वायरल वीडिय के दाव किय गय दिल्ल पुलिस बि मास्क पह लोग दस घंट के जेल डाल रह 
87,सोशल मीडिय वायरल वीडिय क्लिप के दाव किय गय मोद जी योग रूप कभ नह देख होग 
88,सोशल मीडिय वायरल पोस्ट दाव किय गय रूस मुसलमान गैर-मुस्लिम के वाल शाद 
89,एबीप न्यूज़ बुलेटिन के स्क्रीनशॉट ब्रेकिंग न्यूज़ टेम्पलेट संबित पात्र असंबंधित तस्वीर उपयोग करक 
90,बूम पाय बयान के नीच भागवत नाम अलग जोड़ गय ऐस रिपोर्ट नह वायरल बयान पुष्ट 
91,बूम पाय वीडिय छत्तीसगढ़ के रायगढ़ रेलव स्टेशन आई मालगाड़ 
92,बूम पाय वायरल तस्वीर अक्टूबर 2019 ली गय अशोक गेहलोत दिवाल मन 
93,बूम हिन्द जाग्रत मंडल के आयोजक बात पाय नार ठाण महाराष्ट्र गणपत विसर्जन के लग 
94,भारतीय के सैन्य संचालन महानिदेशक कह पाकिस्तान आक्युपाइड कश्मीर कार्रव ख़बर फ़र्ज़ हैं। 
95,वायरल वीडिय मार्च 2020 राजस्थान के उदयपुर के मेनार ऐतिहासिक जमर बीज शौर्य पर्व जिसम लोग होल के 
96,बूम पाय वीडिय इंडोनेशिय के पश्चिम जाव संभाग फ़िल्म गय जह चार साल बच्च इस्लामिक प्रार्थ 
97,बूम पाय वायरल वीडिय अगस्त 4 2020 मुख्यमंत्र अयोध्य राम मंदिर के शिलान्यास के पहल पटाख जल 
98,बूम पाय वीडिय 2019 मुख्यमंत्र गहलोत डूंगरपुर दौर के गलियाकोट स्थित सैयद फखरुद्दीन शहीद मज़ार 
99,बूम पाय वायरल तस्वीर दरअसल 2018 ली गय तेजश्व यादव व्यापार के मर्डर के विरोध प्रदर्शन 
100,वीडिय फ़ेसबुक ट्विटर शेयर रह हाल फ़्रांस इस्लामिक उग्रवाद स्कूल टीचर हत्य 
101,बूम पाय वायरल तस्वीर अलग कथित हत्य के आरोप जुल ज़िल थी। 
102,बूम पाय वायरल वीडिय फरीदाबाद 2019 लोकसभ चुनाव पोलिंग एजेंट अवैध रूप मतदान किय था। 
103,बूम पाय नवनिर्वाचित अमेरिक राष्ट्रपत बाइडेन के अहमद खान दिख तस्वीर साल 2015 हैं। 
104,बूम पाय मूल तस्वीर एडिट करक रोहित शर्म मुंबई इंडियंस के रूपांकन बुर्ज ख़लीफ़ लग गय है। 
105,अमेरिक चुनाव प्रक्रिय खत्म नह क्योंक मीडिय आउटलेट्स जॉर्जिय एरिज़ो अलास्क राज्य चुनाव 
106,वायरल तस्वीर के दाव किय रह बिहार चुनाव हार के राष्ट्रीय जन दल के दफ़्तर मिठ फेंक 
107,बूम पाय वायरल रह तस्वीर पुरा 
108,बूम पाय वीडिय 2019 प्रयागराज संपन्न कुंभ मेल के शाह स्नान के नाग साध 
109,बूम पाय तस्वीर तेजश्व यादव के अगस्त 2016 जेनेव दौर के वक़्त ली गय थीं 
110,बूम सिंहवाड़ पीएचस के चिकित्स अधिकार बत जवान प्राथमिक उपचार किय गय मृत्य नह हुई। 
111,बूम पाय वायरल वीडिय 2018 रूस के ल्यूबेरत्स शहर चुनाव 
112,बूम पाय पक्ष प्रजात नाम एंडियन कोंडोर कैटामार्क अर्जेंटी 2012 घायल पाय गय 2014 
113,बूम ऐस प्रमाण नह मिल डेनमार्क मुसलमान के मतदान के अधिकार रद्द पुष्ट 
114,बूम पाय वीडिय पुर 24 जनवर 2019 युवक फ़्लाइट प्रार्थ ले विवाद ‘अल्लाह अकबर’ 
115,बूम पाय वायरल पोस्ट दाव फ़र्ज़ वीडिय गुजरात नह बल्क हरियाण के फ़तेहाबाद ज़िल है। 
116,बूम पाय तस्वीर जनवर यूप के देवरिय जिल तीन पुलिस कर्म कथित फ़ोन चोर पिट थी। 
117,बूम पाय वीडिय मई 2015 बेल्जियम संसद फ़िल्म गय 
118,बूम पाय वायरल वीडिय सऊद अरब के अल अहस जह अधिकार ख़राब पनीर नष्ट रह थे। 
119,बूम पाय हाइपरटेंशन मधुमेह के कारण उनक देहांत पिछल साल मई 
120,धुरंधर क्रिकेटर वीडिय मैसेज द्वार फ़र्ज़ खबर किय ख़ारिज 
121,बूम पाय वायरल पोस्ट दाव फ़र्ज़ स्क्रीनशॉट एडिट किय गय है। राण अय्यूब ऐस बयान नह दिया। 
122,बूम पाय वास्तविक कार्टून 2014 जिसपर शाहीन बाग़ शब्द अलग जोड़ गय 
123,बूम पाय वायरल पोस्ट दाव फ़र्ज़ तस्वीर राम मंदिर निर्माण नह बल्क बनारस काश विश्वनाथ कॉरिडोर के 
124,बूम पाय वायरल पोस्ट दाव फ़र्ज़ तस्वीर मृत व्यक्त गुजरात पप्प शुक्ल नह बल्क यमन इस्माइल 
125,बूम पाय वीडिय सन यमन 9 नवंबर 2019 फ़िल्म गय 
126,रैल बहुजन समाज पार्ट इसक हालिय बिहार चुनाव सरोकार नह 
127,बूम पाय 2017 वीडिय हाल राजनैतिक साम्प्रदायिक गतिविध जोड़ वायरल किय रह 
128,बूम पाय घट ब्राज़ील के कैफ़ अक्टूबर 12 2020 घटित 
129,बूम पाय वायरल वीडिय क्लिप आठ साल पुरा वीडिय फ़्रांस नह बल्क तुर्क 
130,भारतीय न्यूज़ चैनल सहित बीजेप सोशल मीडिय पाकिस्तान संसद मोद के नार के बार भ्रामक दाव 
131,बूम पाय वीडिय आठ साल पहल सितम्बर 2012 फ़िल्म गय प्रदर्शन खरतौम सूडान युएस युक 
132,बूम पाय रैल मोद 3 मार्च 2019 पट संबोधित । 
133,बूम पाय वायरल स्क्रीनशॉट द वायर के लेख क्रॉप किय गय जिसम स्मृत ईरा जेएनय के कार्यक्रम 
134,लिफ़्ट के सीसीटीव फ़ुटेज महिल अज्ञात हमलावर द्वार बेरहम पिट लुट दिख गय है। वीडिय मलेशिय 
135,बूम पाय तस्वीर पुरा कराच वर्तमान स्थित नह दिख हैं। 
136,बूम पाय तस्वीर 11 जनवर 2020 पीएम मोद दिवसीय कोलक यात्र के विरोध एंट सीएए प्रोटेस्ट के 
137,बूम पाय जबक सोशल मीडिय #UninstallMyntra वायरल मिंत्र वायरल कार्टून नह बन 
138,बूम पाय मूल प्लेकार्ड्स नाइजीरिय लोग विवादास्पद पुलिस इक सार्स के ख़िलाफ़ प्रदर्शन दिख हैं। 
139,बूम पाय वीडिय 2018 मध्य प्रदेश उप-चुनाव के पहल वायरल रह 
140,बूम केंट रिफ्यूज एक्शन नेटवर्क संपर्क किय पुष्ट उनक आयोजन तस्वीर 17 अक्टूबर 
141,बूम पाय वायरल दाव फ़र्ज़ तस्वीर 2014 पीएम मोद कोलक रैल है। 
142,बूम पाय शहीद-ए-आज़म भगत सिंह चार तस्वीर मिल वायरल तस्वीर उनम नह है। 
143,बूम कराच विपक्ष रैल फ़िल्म वीडिओज़ तस्वीर जांच पाय तिरंग नह लहर गय 
144,बूम पाय वायरल तस्वीर दाव फ़र्ज़ है। वायरल तस्वीर करीब साल पुरा थाईलैंड है। 
145,बूम महाराष्ट्र राज्य सीआईड बात पुष्ट एनसीप के संजय शिंद मामल कभ शामिल नह 
146,बूम पाय साल पुर वीडिय पाकिस्तान के झांग वीडिय दिख रह शख्स तभ गिरफ़्तार लिय गय था। 
147,वीडिय लोग पत्थर सड़क रोक रह आदम पुलिस मदद मांग रह 
148,बिल मिलिंड गेट्स फाउंडेशन के प्रवक् वायरल रह मैसेज ख़ारिज किय 
149,बूम पाय वायरल वीडिय जनवर 2018 नीतीश कुमार बक्सर जनसभ संबोधित 
150,बूम पाय वायरल वीडिय दाव फ़र्ज़ वीडिय बिहार नह बल्क मध्यप्रदेश के धार जिल 2018 निकाय चुनाव 
151,बूम पाय वायरल पोस्ट दाव फ़र्ज़ है। शाह इमाम अहमद बुख़ार वायरल दाव बकवास क़रार दिय 
152,बूम बात नीट टॉपर आकांक्ष सिंह के पि विवादित ट्वीट ट्विटर हैंडल फ़र्ज़ बत 
153,बूम पाय महिल उसक पत दोन हिन्द घट सांप्रदायिक कोण नह 
154,बूम फ़ोर्ब्स द्वार जार ऐस सूच नह मिली। 
155,बूम पाय पुलिस शूटिंग वीडिय दरअसल झारखण्ड पुलिस 2017 आयोजित मॉक ड्रिल । 
156,बूम पाय फ़ोट 12 दिसंबर 2013 ली गय मेक्सिकन बिल विरोध रह ना भ्रष्टाचार के ख़िलाफ़ 
157,बूम पाय वायरल पोस्ट दाव फ़र्ज़ घट उत्तर प्रदेश नह बल्क कर्नाटक के कोलार जिल है। 
158,बूम पाय तस्वीर दिख रह महिल गोव कांग्रेस सोशल मीडिय प्रभार प्रतिभ बोर 
159,तस्वीर 2012 भेदभाव विरोध कैंपेन फ़ोटोशॉप सांप्रदायिक फ़र्ज़ सूच फ़ैल के इस्तेमाल किय 
160,बूम हाथरस पीड़ि के भाई संपर्क किय बात पुष्ट तस्वीर दिख रह महिल उसक माँ 
161,बूम पाय फ़ोट 5 नवंबर 2019 दिल्ल पुलिस के प्रदर्शन जिसम न्याय मांग रह 
162,बूम न्यूज़ रिपोर्ट्स पाई जिसम बत गय घट बांग्लादेश राजधा ढाक 
163,बूम पाय वायरल पोस्ट दाव फ़र्ज़ घरेल हिंस मामल केरल नह बल्क बांग्लादेश है। 
164,बूम पाय वायरल तस्वीर सिकंदर खान सत पुलिस मध्य प्रदेश नाबालिग यौन शोषण के आरोप 
165,वायरल दाव फ़र्ज वीडिय अक्टूबर 2016 बीजेप सुब्रत मिश्र टीएमस कार्यकर् कथित रूप हमल 
166,बूम अमृतसर ग्रामीण पुलिस वायरल दाव ख़ारिज बत महिल सिपाह मौत सड़क दुर्घट थी। 
167,बूम आर्टिस्ट जन कूर बात बत वायरल तस्वीर उनक हाथरस गैंगरेप सम्बंधित नह 
168,बूम पाय वायरल तस्वीर अटल टनल नह बल्क कैलिफ़ोर्निय डेविल्स स्लाइड टनल है। 
169,बूम पाय वीडिय दिख रह शख़्स पार्ट के लीडर अजय दत्त जिसक दिल्ल पुलिस धक्क मुक्क 
170,बूम पाय वीडिय दिख रह महिल मार्केटिंग ई-कॉमर्स कंप सेफ़ शॉप इंडिय के हैदराबाद कार्यालय एसोसिएट है। 
171,बूम पाय आजतक के बुलेटिन बयान अलग जोड़ गय 
172,बूम पाय वायरल तस्वीर आदित्य पंचोल नह बल्क बांद्र पुलिस स्टेशन तैनात एपीआई अविनाश नदविंकेर है। 
173,बूम पाय वायरल तस्वीर काश प्रांत बीजेप युव मोर्च के उपाध्यक्ष श्याम प्रकाश द्विवेद अलग 
174,बूम पाय वायरल पोस्ट व्यंग्य वेबसाइट 2018 छप लेख लिय गय 
175,बूम पाय वास्तविक फ़ोट अंतिम संस्कार के दृश्य नह 
176,बूम पाय वीडिय 2006 श्रीनगर शूट जिसम फ़याज़ बुखार रिपोर्टर 
177,वायरल क्लिप अक्टूबर 2016 बीजेप सुब्रत मिश्र टीएमस कार्यकर् द्वार कथित रूप हमल किय गय 
178,बूम पाय क्लिप अक्टूबर 2019 क्रूज़ लाइनर ग्रीस संकर कोरिंथ नहर रव था। 
179,बूम पाय वायरल दाव फ़र्ज है। प्रदीप के शेयर रह तस्वीर पाकिस्ता अभिनेत्र न लादेन बेट 
180,बूम पाय साल पुरा तस्वीर अलग स्लोगन लिख गय 
181,बूम पीड़ि के परिवारजन बात कह वायरल तस्वीर दिख रह लड़क नह पहचान 
182,बूम वीट बलराम प्रदर्शन घायल प्रोटेस्टर बात बत तस्वीर किसान प्रदर्शन नह 
183,बूम पाय वीडिय लगभग चार साल पुर हाल पारित किसान बिल के ख़िलाफ़ चल रह विरोध संबंधित नह है। 
184,बूम सभ वायरल वीडियोज़ तस्वीर जांच पाय अलग अलग घटन दिख 
185,बूम पाय कंग के निर्वाचन क्षेत्र बीजेप 2014 2019 लोकसभ विधानसभ चुनाव अप उम्मीदवार उतार 
186,बूम पाय घट आंध्र प्रदेश के प्रकाशम ज़िल लड़क के उसक एक्स बॉयफ्रेंड बदतमीज़ । 
187,बूम पाय हफ़िंगटन पोस्ट के लेख गांध नाम सूच शामिल खेद जत हट दिय गय 
188,बूम पाय वायरल तस्वीर बैकग्राउंड एडिट करक जोड़ गय असल तस्वीर भारतीय सैनिक लाइन ऑफ़ कण्ट्रोल 
189,बूम पाय मुद्द 370 जे एंड के फ़िल्म शूटिंग के हिस्स के रूप राख सावंत तस्वीर खिंच थी। 
190,पंजाब के मोग जिल साइल साल 2007 बन गय जैस कंप के मुख्य अधिकार बूम बत 
191,बूम पाय वायरल पोस्ट शाहरुख़ टीशर्ट लिख वोट फ़ॉर एमआईएम फ़ोटोशॉप करक जोड़ गय 
192,वायरल तस्वीर लखनऊ 2018 सहायक शिक्षक भर् के विरोध प्रदर्शन ना युव द्वार नौकर मांग 
193,बूम पाय वायरल रह वीडिय साल पुर जिसक हाल के राजनीतिक परिदृश्य ले दे नह 
194,बूम पाय वायरल तस्वीर पुरा वायरल पोस्ट भ्रामक दाव किय रह 
195,बूम पाय पिछल साल मुंबई दिए उनक भाषण तोड़-मरोड़ पेश किय गय 
196,बूम पाय वायरल वीडिय किय गय दाव चौहान रैल लोग कमल नाथ के नाम के नार लग फ़र्ज़ 
197,यूनिवर्सिट ऑफ बर्न बूम बत फ़र्ज़ पत्र । 
198,बूम पाय वायरल तस्वीर 2017 राजस्थान के सी किसान प्रदर्शन 
199,बूम पाय वायरल तस्वीर अक्टूबर 2018 हरियाण रोडवेज कर्मचार के प्रदर्शन 
200,बूम पाय डॉ भीम राव आंबेड उनक पत् तस्वीर बस फ़ोट अलग जोड़ गय 
201,बूम पत लग विज्ञापन अमूल द्वार वर्ष 1995 बन गय 
202,बूम पाय पिछल दिसंबर शिव के लोग व्यक्त मुख्यमंत्र उद्धव ठाकर के ख़िलाफ़ फ़ेसबुक कमेंट 
203,बूम पाय वायरल वीडिय दाव फ़र्ज है। यूथ कांग्रेस किसान ऋण देर के आरोप बैंक मैनेजर पीट 
204,बूम पाय वायरल स्क्रीनशॉट फ़ेक उत्तर प्रदेश सरकार के अधिकार इसक पुष्ट नह 
205,बूम पाय मस्जिद दरअसल कटर बाज़ार सागर मध्य प्रदेश ना मुंबई 
206,पात्र स्पेशल पब्लिक प्रॉसिक्यूटर उज्जवल निकम के दाव दोहर 26/11 मुंबई अटैक मामल स्टेट 
207,वर्ष पुर विरोध प्रदर्शन के वीडिय दोबार गुमराह वाल कैप्शंस के वायरल किय रह 
208,बूम पाय वायरल रह दाव फ़र्ज़ क्योंक हाल ऐस घट नह 
209,तस्वीर दाव के वायरल इसम दिख रह शख्स अंडरवर्ल्ड डॉन सलेम 
210,बूम पाय वायरल पोस्ट दाव फ़र्ज तस्वीर दिख रह महिल जिंद है। सूटकेस मिल लाश अज्ञात महिल 
211,स्क्रीनशॉट वायरल कंग रनौत स्कूल कॉलेज के खुल के सम्बन्ध फ़र्ज़ दाव रह 
212,बूम लक्ष्मण भदरग संपर्क किय बत वीडिय पिछल साल नवंबर फ़िल्म गय 
213,तस्वीर के दाव किय रह तीन परिवार हैं। 
214,बूम पाय हैंडल फ़र्ज़ अस्तित्व नह 
215,बूम पाय चीन भारत द्वार आयोजित संयुक्त अभ्यास तस्वीर लद्दाख अक्टूबर 2016 ली गय 
216,बूम पाय हैंडल पहल @WeWantRahul के नाम कांग्रेस के समर्थन ट्वीट्स किय 
217,बूम पाय भारतीय मीडिय चैनल ट्विटर वायरल वीडिय सत्य जांच बगैर ग़लत दाव के ख़बर चल 
218,बूम पाय वीडिय कांग्सीव कब्रगाह 1962 इंडो-चाइ युद्ध मार सैनिक के बन गय 
219,बूम पाय @ThackerayOffic फ़र्ज़ हैंडल राज ठाकर के नाम बन गय 
220,बूम पाय भुपलपल्ल ज़िल के कलेक्टर ना जज 
221,बूम पाय वायरल मैसेज 2017 दक्षिण अफ़्रीक सरकार द्वार जार चेताव के 
222,यूनाइटेड अरब अमीरात सरकार के अनुसार धमाक गैस रिसाव वजह 
223,बूम बुलढाण पुलिस बत वायरल तस्वीर महिल दिवस के अवसर दिन के डीएसप बन गय स्कूल छात्र 
224,बूम स्थानीय पुलिस मंदिर के पुजार बात मामल के साम्प्रदायिक इंकार दिय 
225,बूम तस्वीर ले वाल फ़ोटोग्राफर बात बत तस्वीर पांच साल पुरा 
226,बूम पाय चार तस्वीर पुरा 2019 उसस पहल ली गय थीं 
227,बूम पाय टाइम्स ऑफ़ इंडिय न्यूज़18 वीडिय फ़र्ज़ दाव के शेयर किय न्यूज़18 क्लिप हट 
228,बूम पाय वायरल तस्वीर पुरा जिसम अमित शाह फ़ोट एडिट करक लग गय 
229,बूम वीडिय मौत के मुँह वापस आन वाल शख्स बात के वायरल वीडिय सच पत लग 
230,बूम पाय गुंजन सक्से द कारगिल गर्ल फ़िल्म भारतीय एयर फ़ोर्स सेवानिवृत महिल हेलीकॉप्टर पायलट गुंजन 
231,बूम पाय फ़र्ज़ दाव रह न्यूज़ 18 के स्क्रीनशॉट एडिट किय गय 
232,बूम पाय तक़रीबन चार साल पुरा तस्वीर नवविवाहित जोड़ कर्नाटक के मांड्य 
233,बूम सोशल मीडिय वायरल पोस्ट्स पड़ताल जिनम दाव किय गय विनाशकार बाढ़ चीन अप चपेट ले रह 
234,बूम पाय वीडिय न्यूयॉर्क शूट रिय जोड़ वाल दाव फ़र्ज़ 
235,बूम पाय प्रदर्शन ढाक 13 सितम्बर 2017 दक्षिणपंथ राजनैतिक पार्ट आयोजित किय 
236,बूम पाय तस्वीर बेलारूस भारतीय राजदूत संगी बहादुर जिन्ह आंख दास बत वायरल किय रह 
237,बूम पाय तस्वीर 2011 इंटरनेट मौजूद इनम नरेंद्र मोद आधिकारिक वेबसाइट 
238,बूम पाय पीड़ित आरोप दोन मुस्लिम घट बांग्लादेश 
239,फ़र्ज़ इंटरव्य कह गय आमिर खान कह उनक बच्च इस्लाम पालन 
240,बूम पाय विज्ञापन मार्च 2020 जार किय गय मास्क पहन अनिवार्य नह था। वायरल पोस्ट भ्रामक है। 
241,बूम पाय सुप्रीम कोर्ट के लोग हमेश संस्कृत वाक्य यत धर्मस्तत जयः लिख 
242,बूम हैदराबाद पुलिस बात करक पत लग प्रतिम स्थाप ले मारपीट शामिल सभ लोग हिंद धर्म के 
243,बूम राष्ट्रपत भवन के अधिकार बात दाव फ़र्ज़ बत 
