,short_description
38,हाल भारत के मुख्य न्यायाधीश किसान आंदोलन ले टिप्पण प्रदर्शन शामिल महिल बुज़ुर्ग घर चल चाह 
39,मैथिल हिंद के लेखक राजकमल चौधर लिख तत्कालीन समाज निम्न महिल दश बय 
40,भारतीय वाय के प्रमुख एयर मार्शल आरकेएस भदौरिय कह स्वदेश लड़ाक विमान- तेजस बालाकोट जैस सर्जिकल स्ट्राइक बारीक अंज़ाम दे मददगार होग 
41,हाल भारत के मुख्य न्यायाधीश किसान आंदोलन ले टिप्पण प्रदर्शन शामिल महिल बुज़ुर्ग घर चल चाह 
42,मैथिल हिंद के लेखक राजकमल चौधर लिख तत्कालीन समाज निम्न महिल दश बय 
43,शुर वीक विस्मय के पास सिंथेटिक ट्रैक आधुनिक जिम सुविध नह इसक बजाय उन्ह कीचड़ भड़ ट्रैक ट्रेनिंग ले मॉनसून के दिन ट्रेनिंग मुश्किल 
44,राहुल गाँध विदेश मामल संसदीय परामर्श कमेट बैठक जयशकंर तीख सवाल पूछ 
45,दूसर शाद हमेश चुपचाप गिनेचु लोग मौजूदग ‘निपटा’ दी क्योंक समाज मान शाद बस बार 
46,किसान कह 26 जनवर किसान ट्रैक्टर रैल निकाल उसक गणतंत्र दिवस परेड असर नह होग पढ़ बड़ ख़बर 
47,व्हाट्सएप भेज नोटिस के मुताबिक लोग 17 जनवर नई दिल्ल एनआईए के मुख्यालय पेश के कह गय 
48,मेजबान ऑस्ट्रेलिय टीम पहल बल्लेबाज पहल पार 369 रन बन भारत के 2 विकेट 62 रन 
49,16 दिसंबर 1971 दोपहर ढाक पाकिस्ता के मुख्यालय हथियार डाल पहल पाकिस्ता के चोट के अफ़सर दिन खा खा रह 
50,भारत हाल वर्ष संयुक्त राष्ट्र सुरक्ष परिषद तीन अलग-अलग कमेट अध्यक्ष अवसर मिल 
51,लोग वैक्सीन ले खुश लोग इसक रिएक्शन डर 
52,असम सरकार अवैध प्रवास घुसपैठ जुड़ मुद्द ले पुलिस कमेट ऐस बन प्रदेश विधानसभ चुनाव वाल 
53,दौर टीम इंडिय के चोटिल वाल खिलाड़ संख्य दर्जन भर पहुँच सवाल दौर क्रिकेटर लगातार चोटिल क्य रह 
55,सुमित्र नायक भारत राष्ट्रीय महिल रग्ब टीम जगह बन के ग़रीब घरेल हिंस समेत चुनौत साम किय 
56,दोन विमान तेजस जेएफ़-17 लंब मार वाल मिसाइल लैस 
57,तीन कमेट अध्यक्ष भारत मिल उनम तालिबान सेंक्शन काउंटर टेररिज़्म लीबिय सेंक्शन कमेट शामिल 
58,1971 के बांग्लादेश युद्ध पाकिस्ता सैनिक आत्मसमर्पण जनरल जे एफ आर जैकब महत्वपूर्ण भूमिक 
59,भारत चौथ टेस्ट मैच बि अहम खिलाड़ के खेल रह रविंद्र जडेज जसप्रीत बुमराह अश्विन चोट के कारण पड़ 
60,पाकिस्तान के हज़ार मुसलमान काफ़ निश बन रह हज़ार कह आए पाकिस्तान 
61,ब्रिस्बेन शुक्रवार निर्णायक टेस्ट शुर होग भारत आध ज़्याद टीम अभ डॉक्टर निर्भर 
62,पाकिस्तान के पूर्व तेज़ गेंदबाज़ शोएब अख़्तर टीम इंडिय के जीवट खेल ले तारीफ़ के पुल बांध 
63,इलाहाबाद हाईकोर्ट के ताज़ फ़ैसल के स्पेशल मैरिज ऐक्ट के शाद वाल जोड़ सार्वजनिक नोटिस बाध नह गुज़र होग 
64,पीएम मोद ऐस क्य ग़ल कृष क़ानून के मुद्द किसान के प्रदर्शन दुनिय के सबस बड़ विरोध प्रदर्शन बदल दिय 
65,भारत वैक्सीन सप्ल कार्टून 
66,औरंगाबाद सिट औरंगाबाद ज़िल नय नाम रख बहस जब-तब उठ खड़ 
67,किसान के संगठन के प्रतिनिध भारतीय किसान यूनियन के राकेश टिकैत बीबीस बात कह चार लोग कमिट बन उनपर किसान भरोस इसल नह 
68,भारत के प्रमुख जनरल एमएम नरवण कह पाकिस्तान चीन मिल भारत के ख़तर पैद सक 
69,संगीत सोम कोरो वैक्सीन विरोध वाल पाकिस्ता मानसिक बत सलाह दे डाल प्रेस रिव्य 
70,भारत वैक्सीन सप्ल कार्टून 
71,औरंगाबाद सिट औरंगाबाद ज़िल नय नाम रख बहस जब-तब उठ खड़ 
72,किसान के संगठन के प्रतिनिध भारतीय किसान यूनियन के राकेश टिकैत बीबीस बात कह चार लोग कमिट बन उनपर किसान भरोस इसल नह 
73,भारत के प्रमुख जनरल एमएम नरवण कह पाकिस्तान चीन मिल भारत के ख़तर पैद सक 
74,संगीत सोम कोरो वैक्सीन विरोध वाल पाकिस्ता मानसिक बत सलाह दे डाल प्रेस रिव्य 
75,अमेरिक संसद राष्ट्रपत ट्रंप के ख़िलाफ़ महाभियोग प्रस्ताव पारित गय ट्रंप बयान जार लोग शांत बन रख अपील 
76,ऑस्ट्रेलिय बल्लेबाज़ स्टीव स्मिथ सिड टेस्ट के अंतिम दिन ऋषभ पंत बैटिंग क्रीज़ ख़राब के आरोप हैरान पंत शतक केवल तीन रन पहल आउट 
77,दिल्ल के बॉर्डर आंदोलन रह किसान कह वो सुप्रीम कोर्ट पहल स्वागत उनक आरोप कमिट किसान मांग ले बन वो सरकार के पक्ष काम 
78,नगालैंड के फेक जिल कुटसाप गांव अचानक चर्च 26 दिसंबर गांव ट्रक दुर्घटनाग्रस्त गय ट्रक सड़क करीब 525 फुट नीच गिर गय 
79,कृष क़ानून SC लग रोक सिंघ बॉर्डर कैस माहौल ज़्याद जानकार के बीबीस संवादद अरविंद छाबड़ 
80,सुप्रीम कोर्ट कह किसान के मुद्द हल निकाल के बन कमेट मही के अप रिपोर्ट अदालत के साम पेश 
81,सुप्रीम कोर्ट कृष क़ानून विभिन्न पक्ष सुन ज़मी स्थित जायज ले के समित गठन किय 
82,किसान के रोष के चल हरियाण सियासत बड़ हलचल शुर चुक क्य दुष्यंत देंग इस्तीफ़ 
83,‘यूरोपीय क्षेत्र’ के भारत रह इंस्टैंट मैसेजिंग ऐप वॉट्सऐप आपक अप प्राइवेस पॉलिस शर्त बदलाव रह 
84,पाकिस्तान के ताक़तवर तस् कैस आज़ाद के स्मगलिंग के धंध भारत के एकाधिकार ख़त्म किय सेठ आबिद दिलचस्प 
85,आरटीआई पत चल स्कीम फ़ायद बड़ संख्य ऐस किसान उठ आय दे 
87,सेल्फ़ के अप जीवन क्य दांव लग लोग ऐस सोच कैस रोक सक 
88,श्रीपद नाइक कर्नाटक येलापुर गोकरन रह उनक कार सड़क के किनार गड्ढ गिर 
89,ऑस्ट्रेलिय कप्तान टिम पेन रविचंद्रन अश्विन अपमान किय तीन कैच गिर इसक भारत असंभव लग रह टेस्ट मैच ड्रॉ जिसस मैच पेन के करियर सबस बुर याद बन गय 
91,अमेरिक संसद के निचल सदन हाउस ऑफ़ रिप्रेज़ेन्टेटिव्स राष्ट्रपत ट्रंप हट के प्रस्ताव पेश किय गय 
92,सुप्रीम कोर्ट मंगलवार केंद्र के तीन कृष क़ानून फ़ैसल सुन 
93,प्रधानमंत्र ओल संकेत दिए 14 जनवर नेपाल के विदेश मंत्र प्रदीप ज्ञावल भारत के दौर वो कालापानी-लिपुलेख लिम्पियाधुर के मुद्द उठ इसक हल के वार् 
94,मध्यप्रदेश गोडस ज्ञानशाल कार्टून 
95,भारत ऑस्ट्रेलिय के सिड खेल गय तीसर टेस्ट मैच बि नतीज के समाप्त ऑस्ट्रेलिय भारत के साम दूसर पार जीत के 407 रन लक्ष्य रख जिसक जवाब भारत पाँच विकेट के नुक़सान 334 रन बन 
96,प्रधानमंत्र नरेंद्र मोद कोरो के टीकाकरण के बार मुख्यमंत्र बातचीत के बात कह 
97,शास्त्र के शव दिल्ल ला के ताशकंद हवाईअड्ड ले जाय रह रास् हर सोवियत भारतीय पाकिस्ता झंड झुक 
98,सिड टेस्ट भारतीय खिलाड़ दर्शक ओर नस्लभेद टिप्पण साम पड़ 
99,ब्रिटेन बच्च सोशल मीडिय के ज़र भारत चल रह किसान प्रदर्शन ले जागरूक बढ़ रह बच्च अभियान ब्रिटेन चर्च विषय बन गय 
102,दुर्घट कर्नाटक के उत्तर कन्नड़ ज़िल अंकोल के पास मंत्र उनक पत् फ़ौरन हेलिकॉप्टर एंबुलेंस गोव ले जाय गय जह केंद्रीय मंत्र पत् निधन गय 
103,भारतीय फ़ार्म कंपन न सिर्फ अप लोग टीकाकरण बल्क दूसर देश वैक्सीन सप्ल 
104,सिड टेस्ट के अंतिम दिन भारत जीत के 407 रन बन भारत पाँच विकेट खो 334 रन बन सक 
105,क्रिकेट ऑस्ट्रेलिय अप आधिकारिक बयान जार किय मेज़बान के ना भारतीय क्रिकेट टीम माफ़ मांग 
106,महाराष्ट्र के भंडार ज़िल अस्पताल आग लग बच्च मौत के मामल प्रशासन क्य रह 
107,कृष कानून विरोध रह किसान हंगाम हरियाण के मुख्यमंत्र रैल रद्द 
108,चावल पक के उबाल नह पड़ बस देर पा रख के खा के तैयार 
109,माइकल जैक्सन भारत केवल शो किय क्य शो जुड़ सबस दिलचस्प 
111,तीन कृष क़ानून विरोध रह किसान के सरकार के आठ दौर बातचीत के गतिरोध ख़त्म नह 
113,स्टीव स्मिथ 34 फ़ीसद अंतरराष्ट्रीय शतक भारत के ख़िलाफ़ बन उन्ह भारत के ख़िलाफ़ बल्लेबाज़ पसंद 
114,चार टेस्ट मैच सिरीज़ दोन टीम एक-एक बराबर सिड क्रिकेट ग्राउंड तीसर टेस्ट मैच खेल रह 
115,पिछल एक-द दिन आपक पास वॉट्सऐप प्राइवेस पॉलिस जुड़ नोटिफ़िकेशन आय ‘आई एग्री’ क्लिक करक आग बढ़ लेख ध्यान पढ़ 
116,25 फ़रवर नीरव मोद बत जाएग क्य उनक प्रत्यर्पण किय जाएग पीएनब ग़बन मामल भारत धोखाधड़ मन लॉन्ड्रिंग केस चल 
117,लड़क लड़क शाद दोन लड़क लड़क प्यार 
118,मालगाड़ इंजन जिसम 180 कंटेनर नीच रख 
119,हीरामन कोरव जनजात आत विलुप्त कोरव भाष शब्दकोश क़र्ज़ ले तैयार किय 
120,उत्तर प्रदेश के मिर्ज़ापुर ज़िल युवक क़रीब 11 साल पहल ग़ल सीम पार करक पाकिस्तान चल गय 
121,स्टूडेंट्स शिक्षक ओर शिकायत साल ज़्याद वक़्त गुज़र के बावजूद मामल गिरफ़्तार नह जबक हिंस के वीडिय तस्वीर वायरल थीं 
122,सोमवार केरल हिमाचल प्रदेश राजस्थान बात पुष्ट दी उनक बड़ पैम पक्ष मौत वजह बर्ड फ्ल 
123,भारत कोरो वायरस बचाव के वैक्सीन तैयार वाल कंपन भारत बायोटेक सीरम इंस्टीट्यूट ऑफ़ इंडिय मंगलवार साझ बयान जार किय विवाद सुलह क्या-क्य जान पूर बात 
124,बर्ड फ्ल के मामल कार्टून 
125,चीन के जुंग सानसान भारत के मुकेश अंबा पीछ छोड़ एशिय के सबस धन व्यक्त बन 
126,ड्रग कंट्रोलर जनरल ऑफ़ इंडिय डीसीजीआई रविवार कोविड-19 के इलाज के वैक्सीन के आपातकालीन इस्तेमाल अनुमत दे दी 
127,कांग्रेस प्रियंक गांध के पत कारोबार रॉबर्ट वाड्र सोमवार आय विभाग तलब किय 
128,उत्तर प्रदेश के गाज़ियाबाद ज़िल के मुरादनगर इलाक श्मशान घाट छत गिर घट 25 लोग मौत 
129,किसान 26 जनवर दिल्ल के राजपथ ट्रैक्टर परेड तैयार रह हरियाण के जींद महिल किसान ट्रैक्टर-ट्रॉल चल ट्रेनिंग ले रह 
130,भारत भाग हीर व्यापार नीरव मोद बहन बहनोई सरकार गवाह बन ले आवेदन दिय 
131,मनोरंजन ले साल 2021 सी उम्मीद उम्मीद इसल अधिक क्योंक वो फ़िल्म साल रिलीज़ होंग बी साल रिलीज़ नह हुईं 
132,मुग़ल सल्तनत के संस्थापक बाबर 1483-1530 जह विजे के रूप देख वर्णित किय दूसर ओर उन्ह बड़ कलाकार लेखक मा 
133,भारत सरकार लाल माँस संबंधित अप नियमावल हलाल शब्द हट दिय 
134,चार टेस्ट मैच के सिरीज़ तीसर टेस्ट मैच सिड खेल रह ऑस्ट्रेलिय टीम टॉस जीत पहल बल्लेबाज़ रह 
135,बात कारोबार अमेरिक लगातार दूसर वित्त वर्ष भारत सबस बड़ व्यापारिक भागीदार बन रह 
136,बाइडन बुधवार कैपिटल बिल्डिंग घट अमेरिक के इतिहास के सबस काल दिन करार दिय 
137,राष्ट्रीय कामधेन आयोग अप पहल कामधेन गौ विज्ञान प्रचार प्रसार परीक्ष आयोजित रह 
138,जस्टिस खन् अप विरोध फ़ैसल कह निर्णय ले प्रक्रिय जन हिस्सेदार मशी प्रक्रिय औपचारिक भर नह सक 
139,भारतीय ईश्वर पूज के अप अधिकार लड़ लड़ 
140,इतिहासकार के लेखन दस्तावेज़ पत चल दार शिकोह दिल्ल हुमायूं के मक़बर कह दफ़न किय गय 
141,हिटमैन के नाम मशहूर रोहित शर्म ज़िंदग उनक खेल जुड़ किस्स सुन 
142,भारत वैक्सीनेशन तैयार कार्टून 
143,चीन के राष्ट्रपत शी जिनपिंग तीन महीन के दूसर बार अप युद्ध के ख़ुद तैयार रख आह्वान किय 
144,रविवार भारत के ड्रग रेग्यूलेटर स्वदेश वैक्सीन कोवैक्सीन आपातकालीन इस्तेमाल के मंज़ूर दे दी वो बि तीसर चरण के ट्रायल के 
146,भारत दिन कोरो वायरस के ख़िलाफ़ बड़ पैम टीकाकरण शुर तैयार चल रह 
147,भारत चीन के वास्तविक नियंत्रण रेख चल रह सीम विवाद के चीन भारत अप घरेल मसल ज़्याद ध्यान दे नसीहत दी 
148,अचानक समाचार सुन दिय युगांड के तानाशाह ईद अमीन युगांड वर्ष रह रह 60000 एशिय अचानक देश छोड़ दे आदेश दे दिय 
150,कोरो वैक्सीन तैयार कार्टून 
151,किसान सरकार के सातव दौर बातचीत बेनतीज़ खत्म किसान केंद्र सरकार के अगल वार् आठ तारीख़ शुक्रवार होग 
152,भारत दव नियामक संस्थ के प्रमुख कह देश कोरो वैक्सीन मंज़ूर दी वो सुरक्षित 
153,सिविकस रिपोर्ट कंबोडिय थाईलैंड श्रीलंक वियतनाम ज़िक्र किय गय के हालात ले चिं ज़ाहिर आम लोग बेवजह निश बन गय कठोर यात दी गईं 
154,मेलबर्न इंडोर रेस्तर वीडिय वायरल के भारतीय क्रिकेट टीम सपोर्ट स्टाफ़ कोरो वायरस टेस्ट किय गय 
155,ऑक्सफोर्ड कोविशील्ड भारत बायोटेक कोवैक्सीन मंज़ूर दी दोन के डेट सार्वजनिक नह ऐस चिं ज़ाहिर रह 
156,23 साल के प्रभात साह क्रिप्टोग्राफ मदद ऐस तकनीक विकसित जिसक मदद पासवर्ड ओटीप के बि ट्रांजैक्शन किय सक 
157,भारत तनाव के ची राष्ट्रपत शी जिनपिंग तैनात शक्त अप पास ले ली 
158,पाकिस्तान वाय के अत्याधुनिक लड़ाक विमान जेएफ़-17 के ब्लॉक-थ्र तैयार शुर दी चीन के सहयोग बन चौदह जेएफ़-17ब विमान पाकिस्तान वाय सौंप दिए 
159,बाबर मुग़ल सल्तनत स्थाप बुलंद के दिन उसक पास दुनिय चौथ अधिक दौलत सल्तनत क्षेत्रफल अफ़ग़ानिस्तान समेत लगभग पूर उपमहाद्वीप फैल 
160,चीन कोरो वायरस के नए वैरिएंट पहल मामल साम आय ऐस दाव किय रह कोरो वायरस नय वैरिएंट पहल तुल 40-70 फ़ीसद अधिक तेज़ फैल वाल 
161,सरकार किसान के अगल बैठक चार जनवर होग 
162,सोनल शर्म राजस्थान न्यायिक सेव आरजेएस 2018 चयन 
163,साल 2020 कोविड-19 के ख़िलाफ़ जंग फ़्रंटलाइन रह डॉक्टर्स स्वास्थ्यकर्म वायरस संक्रमित उनम कइय मौत 
164,असम नागरिक संशोधन क़ानून ले विरोध-प्रदर्शन शुर पिछल साल 11 दिसंबर क़ानून संसद पारित किय गय 
165,सोनल शर्म राजस्थान न्यायिक सेव आरजेएस 2018 चयन 
166,104 पूर्व नौकरशाह यूप के मुख्यमंत्र संबोधित धर्मांतरण अध्यादेश के विरोध पत्र लिख बीजेप कह योग आदित्यनाथ आग अंदाज़ काम रह 
167,किसान संगठन तीन कृष क़ानून वापस ले माँग अड़ रह जबक केंद्र सरकार कह चुक वो क़ानून वापस नह लेग 
168,किसान सरकार के छठ दौर बातचीत पहल जान पूर्व कृष मंत्र पूर्व फ़ूड कमिश्नर पूर्व एफ़सीआई चेयरमैन मुद्द जुड़ जानकार क्य होग रास् 
169,सरकार किसान संगठन के छह दौर बातचीत चुक केंद्र सरकार साफ़ दिय नए कृष क़ानून वापस नह जाएँग आख़िर क्य 
170,जैक मा शंघ अक्टूबर के अंत फोरम के सार्वजनिक तौर नह दिख दिए 
171,कोरो वैक्सीन तैयार कार्टून 
172,किसान सरकार के सातव दौर बातचीत बेनतीज़ खत्म किसान केंद्र सरकार के अगल वार् आठ तारीख़ शुक्रवार होग 
173,भारत दव नियामक संस्थ के प्रमुख कह देश कोरो वैक्सीन मंज़ूर दी वो सुरक्षित 
174,सिविकस रिपोर्ट कंबोडिय थाईलैंड श्रीलंक वियतनाम ज़िक्र किय गय के हालात ले चिं ज़ाहिर आम लोग बेवजह निश बन गय कठोर यात दी गईं 
175,मेलबर्न इंडोर रेस्तर वीडिय वायरल के भारतीय क्रिकेट टीम सपोर्ट स्टाफ़ कोरो वायरस टेस्ट किय गय 
176,ऑक्सफोर्ड कोविशील्ड भारत बायोटेक कोवैक्सीन मंज़ूर दी दोन के डेट सार्वजनिक नह ऐस चिं ज़ाहिर रह 
177,23 साल के प्रभात साह क्रिप्टोग्राफ मदद ऐस तकनीक विकसित जिसक मदद पासवर्ड ओटीप के बि ट्रांजैक्शन किय सक 
178,भारत तनाव के ची राष्ट्रपत शी जिनपिंग तैनात शक्त अप पास ले ली 
179,पाकिस्तान वाय के अत्याधुनिक लड़ाक विमान जेएफ़-17 के ब्लॉक-थ्र तैयार शुर दी चीन के सहयोग बन चौदह जेएफ़-17ब विमान पाकिस्तान वाय सौंप दिए 
180,चीन कोरो वायरस के नए वैरिएंट पहल मामल साम आय ऐस दाव किय रह कोरो वायरस नय वैरिएंट पहल तुल 40-70 फ़ीसद अधिक तेज़ फैल वाल 
181,सरकार किसान के अगल बैठक चार जनवर होग 
182,सोनल शर्म राजस्थान न्यायिक सेव आरजेएस 2018 चयन 
183,साल 2020 कोविड-19 के ख़िलाफ़ जंग फ़्रंटलाइन रह डॉक्टर्स स्वास्थ्यकर्म वायरस संक्रमित उनम कइय मौत 
184,असम नागरिक संशोधन क़ानून ले विरोध-प्रदर्शन शुर पिछल साल 11 दिसंबर क़ानून संसद पारित किय गय 
185,सोनल शर्म राजस्थान न्यायिक सेव आरजेएस 2018 चयन 
186,104 पूर्व नौकरशाह यूप के मुख्यमंत्र संबोधित धर्मांतरण अध्यादेश के विरोध पत्र लिख बीजेप कह योग आदित्यनाथ आग अंदाज़ काम रह 
187,किसान संगठन तीन कृष क़ानून वापस ले माँग अड़ रह जबक केंद्र सरकार कह चुक वो क़ानून वापस नह लेग 
188,किसान सरकार के छठ दौर बातचीत पहल जान पूर्व कृष मंत्र पूर्व फ़ूड कमिश्नर पूर्व एफ़सीआई चेयरमैन मुद्द जुड़ जानकार क्य होग रास् 
189,सरकार किसान संगठन के छह दौर बातचीत चुक केंद्र सरकार साफ़ दिय नए कृष क़ानून वापस नह जाएँग आख़िर क्य 
191,दिल्ल अलग-अलग सीम अप माँग ले प्रदर्शन रह किसान आख़िर नय साल क्य उम्मीद रख 
192,दलित के विजय किस्स के वाल भीम कोरेगांव 2018 हिंस के ज़्याद चर्च रह हिंस के मामल देश के जाने-म बुद्धिजीव अभियुक्त बन गय यूएपीए धार लग गईं जान जगह इतिहास दिश रह 2018 हिंस जांच 
193,नेपाल के हालिय संकट चीन के झटक भारत जीत के तौर क्य देख रह भारतीय मीडिय ओल चीन समर्थक कह क्य वो भारत के पक्ष आ 
194,मामल भारत के जाने-म मानवाधिकार कार्यकर् बुद्धिजीव जेल पुलिस इन्ह जेल चश्म स्ट्रॉ दे इनकार रह जान क्य 
195,विदेश राजनयिक कह रह चीन ओल के क़दम हैरान सीनियर यूरोपियन डिप्लोमैट कह महामार के प्रधानमंत्र ओल के क़दम चीन नाराज़ 
196,देख तस्वीर देश दुनिय लोग अंदाज़ मन नए साल जश्न 
197,साल के आख़र किसान आंदोलन सुर्ख बटोर 
198,केंद्रीय शिक्ष मंत्र रमेश पोखरियाल निशंक सीबीएसई बोर्ड 10व 12व परीक्ष घोषण 
199,सरकार प्रेस रिलीज़ के मुताबिक़ देशभर क़रीब 96000 वैक्सीन दे वाल इसक ट्रेन किय गय 
200,दलित के विजय किस्स के वाल भीम कोरेगांव 2018 हिंस के ज़्याद चर्च रह हिंस के मामल देश के जाने-म बुद्धिजीव अभियुक्त बन गय यूएपीए धार लग गईं जान जगह इतिहास दिश रह 2018 हिंस जांच 
201,नेपाल के हालिय संकट चीन के झटक भारत जीत के तौर क्य देख रह भारतीय मीडिय ओल चीन समर्थक कह क्य वो भारत के पक्ष आ 
202,मामल भारत के जाने-म मानवाधिकार कार्यकर् बुद्धिजीव जेल पुलिस इन्ह जेल चश्म स्ट्रॉ दे इनकार रह जान क्य 
203,विदेश राजनयिक कह रह चीन ओल के क़दम हैरान सीनियर यूरोपियन डिप्लोमैट कह महामार के प्रधानमंत्र ओल के क़दम चीन नाराज़ 
204,देख तस्वीर देश दुनिय लोग अंदाज़ मन नए साल जश्न 
205,साल के आख़र किसान आंदोलन सुर्ख बटोर 
206,केंद्रीय शिक्ष मंत्र रमेश पोखरियाल निशंक सीबीएसई बोर्ड 10व 12व परीक्ष घोषण 
